word,m.11,m.12,m.13,m.14,m.15,m.16,m.17,m.18,m.19,m.20,m.21,m.22,m.23,m.24
"courbatures",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"courent",0,0,0,0,0,0,0,1,0,0,1,0,1,0
"coureur",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"courgette",0,0,0,3,2,3,0,0,0,0,0,0,0,0
"courgettes",0,0,0,5,0,1,0,0,2,0,0,0,0,0
"courir",0,0,0,0,0,1,2,0,0,1,0,2,1,4
"couronne",0,0,0,0,0,1,0,0,5,0,0,4,0,1
"couronnes",0,0,0,0,0,0,0,0,0,0,0,4,3,0
"courrait",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"courrier",0,0,0,0,0,0,1,0,0,0,0,5,0,0
"cours",0,0,2,7,2,0,0,1,2,0,2,0,5,1
"course",0,0,0,1,0,0,0,0,0,4,2,3,3,3
"courses",2,0,4,0,0,0,1,1,1,0,1,0,0,1
"court",0,0,1,0,1,0,3,0,1,1,4,12,3,4
"courte",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"courtes",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"courts",0,0,0,0,0,0,0,1,0,0,1,0,0,0
"couru",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"courut",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"cousin",0,2,0,0,0,0,0,0,0,0,0,0,3,1
"cousine",0,0,1,0,0,0,0,0,0,1,0,0,0,0
"cousins",0,0,0,0,0,0,0,1,1,0,0,1,1,0
"coussin",0,0,0,0,0,1,1,1,3,5,4,7,2,1
"coussins",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"coussoupe",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"cousu",0,0,0,0,0,0,0,0,3,0,0,0,1,0
"couteau",1,1,1,1,3,3,2,4,1,3,11,12,26,2
"couteaux",0,0,0,0,0,0,0,0,0,0,1,3,2,1
"couture",0,0,0,0,0,0,0,0,3,1,0,0,0,0
"couve",0,0,0,0,0,0,0,0,2,0,0,0,0,3
"couvercle",2,0,2,2,0,7,1,4,0,1,5,5,8,6
"couvercles",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"couvert",0,0,0,0,2,0,0,0,0,0,0,3,0,0
"couverte",0,0,0,0,0,0,1,0,0,0,0,0,2,1
"couverts",0,0,0,1,0,0,0,1,0,1,0,3,1,0
"couverture",0,0,1,2,0,0,5,0,0,1,4,1,0,2
"couvertures",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"couves",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"couvre",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"couvrir",0,0,0,0,0,0,0,0,0,1,1,0,0,2
"couzicouzi",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"couzicouzicouzi",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"cowboy",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"coût",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"cp",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"cra-cra",0,0,0,0,0,0,0,0,0,0,0,0,3,0
"crabe",0,0,0,0,2,9,0,1,4,0,4,0,0,0
"crabes",0,0,0,0,1,0,0,0,0,0,6,0,0,0
"crac",0,0,0,0,0,5,0,0,0,0,1,0,2,0
"crache",0,0,6,6,1,0,0,0,0,0,0,2,2,5
"cracher",0,0,0,0,0,0,0,0,0,0,0,2,2,5
"craches",1,0,0,0,0,1,0,0,0,0,0,0,0,2
"cracheur",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"craché",0,0,2,1,0,0,0,0,0,0,0,0,2,0
"crack",0,0,0,0,0,0,0,0,0,0,0,0,2,1
"cracotte",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"cracra",0,2,0,0,0,0,0,0,0,3,0,0,2,0
"crade",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"crado",0,0,0,0,0,2,0,0,0,0,0,2,2,0
"craie",0,0,0,0,0,0,0,0,4,0,0,2,2,0
"craignais",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"craignent",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"crains",0,0,0,0,2,0,0,0,1,1,0,1,1,0
"craint",0,3,0,0,0,0,2,1,1,1,0,0,0,1
"crampe",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"cran",0,0,0,1,1,0,0,0,0,1,1,0,0,0
"crapaud",0,0,1,0,0,0,0,2,0,0,0,1,1,0
"crapule",0,0,1,1,0,0,0,0,0,0,0,1,0,0
"craquantes",0,0,0,0,0,0,0,1,0,0,1,0,0,0
"craque",0,0,11,0,0,0,0,0,0,0,1,0,5,0
"craquent",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"craquer",0,0,0,1,0,0,0,1,0,0,0,0,0,0
"cravate",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"crawl",0,1,0,0,0,0,0,0,1,0,0,0,0,0
"crayolas",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"crayon",1,1,0,2,1,5,4,1,4,2,2,20,2,7
"crayonné",0,0,0,0,0,0,0,0,2,0,0,0,0,0
"crayons",0,0,0,0,0,3,0,1,3,4,6,12,3,5
"crcrcrcr",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"creuse",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"creusent",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"creux",0,1,0,0,0,0,1,0,0,0,0,0,0,1
"crevette",0,0,0,1,0,1,0,0,0,1,0,0,0,0
"crevettes",0,0,0,0,0,0,0,0,2,0,0,0,0,0
"crevé",0,0,0,0,1,5,0,0,0,0,1,0,0,0
"crevée",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"crevés",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"cri",0,0,1,0,3,2,0,0,0,0,1,1,1,0
"cria",0,0,0,0,0,0,0,0,0,0,0,0,4,0
"cria-t-elle",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"cria-t-il",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"criant",0,1,0,1,0,0,0,0,0,0,0,0,0,0
"cric",0,0,0,0,0,0,0,3,0,7,0,0,0,0
"crick",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"cricket",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"crie",2,1,1,0,2,0,0,1,3,0,1,2,3,2
"crier",0,1,1,0,1,0,0,0,0,0,2,1,1,0
"cries",0,1,0,3,0,0,0,2,0,0,0,0,0,0
"crikcrikcrikcrik",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"crinière",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"crique",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"cris",0,0,2,0,3,0,1,1,0,0,1,2,0,0
"crise",0,0,1,0,1,0,0,0,0,0,1,1,4,0
"crises",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"crié",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"cro",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"croa",2,0,0,0,0,0,0,10,0,1,0,7,0,0
"croc",0,0,0,0,0,0,0,1,0,4,0,0,0,0
"croche",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"crochet",1,0,0,0,0,3,0,0,0,0,0,0,1,0
"crochets",0,0,0,0,0,0,0,0,0,4,0,0,3,0
"crockett",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"croco",0,0,0,0,3,0,0,0,0,0,0,0,6,0
"crocodile",0,5,2,1,12,5,0,18,13,5,31,11,9,38
"crocodiles",0,0,0,0,1,0,0,3,2,0,0,1,0,6
"crocro",0,0,0,0,0,0,0,0,0,0,0,0,0,38
"crocrodiles",0,0,0,0,0,0,0,0,0,0,0,2,0,1
"crocs",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"croirait",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"croire",0,0,1,0,0,0,1,1,0,1,0,0,2,0
"crois",5,18,28,37,24,28,37,45,34,32,41,68,97,48
"croise",0,0,0,0,0,0,0,1,0,0,0,0,1,2
"croises",0,0,0,0,1,0,0,0,1,0,0,0,1,0
"croisillon",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"croissance",0,0,0,0,0,0,1,0,0,0,0,0,1,0
"croissant",0,0,3,6,1,0,0,0,0,0,0,0,1,2
"croisé",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"croit",0,0,1,0,0,0,0,1,0,0,0,0,3,0
"croix",0,0,0,0,0,0,0,1,1,2,1,1,0,0
"croqua",0,0,0,0,0,0,0,0,0,0,0,0,2,0
"croquais",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"croque",0,0,0,0,0,0,1,0,1,0,8,0,2,3
"croquer",1,0,2,1,0,0,1,1,1,0,1,1,2,2
"croquera",0,0,0,0,0,0,0,0,0,0,0,0,2,0
"croqueras",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"croques",0,0,0,1,0,0,0,3,1,0,0,0,2,1
"croquettes",0,0,0,0,0,0,0,0,0,0,2,0,0,3
"croqué",0,0,1,0,0,0,0,0,0,0,2,0,0,0
"cros",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"crotte",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"crottes",0,0,0,0,0,0,0,0,0,0,1,0,0,2
"crotté",0,0,0,1,0,0,0,0,0,0,0,0,0,1
"crouic",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"croustillants",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"croute",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"croyais",0,0,2,3,2,0,2,3,2,0,6,5,6,2
"croyait",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"croyez",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"croûte",0,0,0,2,0,0,1,0,0,0,0,0,0,0
"cru",0,0,4,0,4,0,2,2,2,2,0,2,2,1
"cruche",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"cruciforme",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"crâne",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"crèche",1,2,0,2,2,1,1,1,3,8,4,7,10,11
"crème",0,0,1,1,0,1,2,1,0,5,1,10,9,0
"crèpe",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"crèpes",0,0,0,0,2,0,0,0,0,0,1,0,0,0
"création",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"créee",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"créer",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"crêche",0,0,0,0,0,1,4,0,0,0,0,0,0,0
"crêpe",0,0,0,0,0,1,0,0,1,0,0,5,0,0
"crêpes",0,0,0,0,0,0,0,0,2,0,0,0,0,0
"cube",0,2,0,1,0,1,0,0,1,3,3,3,0,0
"cubes",0,3,0,4,0,1,0,7,2,1,3,1,3,1
"cueille",0,0,0,0,0,0,0,0,0,0,0,0,3,0
"cueilli",0,0,1,0,0,0,0,0,0,1,0,0,0,0
"cueillir",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"cui",0,0,0,0,0,0,0,4,0,0,0,5,0,0
"cuicui",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"cuillere",0,0,0,0,0,0,3,0,0,0,0,0,0,0
"cuillerées",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"cuillière",0,0,1,0,0,0,0,1,0,0,0,0,0,0
"cuillère",0,5,7,7,9,5,17,23,6,6,16,22,7,21
"cuillères",0,3,0,1,0,0,0,0,0,0,2,7,1,3
"cuire",0,0,0,0,2,1,6,6,1,0,2,4,3,3
"cuise",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"cuisine",0,1,6,2,2,4,6,9,5,2,8,8,4,10
"cuisiner",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"cuisines",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"cuisinier",0,0,0,0,0,0,0,0,0,0,1,0,1,0
"cuisinière",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"cuisiné",0,1,0,0,0,0,0,1,0,0,0,0,0,0
"cuisse",0,0,0,0,0,0,0,0,0,0,3,0,0,0
"cuisses",0,0,0,0,0,0,0,0,1,2,0,0,3,1
"cuisson",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"cuit",0,1,0,1,1,1,3,1,0,1,0,3,4,0
"cuite",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"cuites",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"cuivre",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"cuivres",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"culotte",0,0,0,0,0,9,0,5,0,16,8,7,26,13
"culottes",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"culturelle",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"cure",0,0,1,0,0,0,0,0,0,0,0,0,0,1
"curieuse",0,0,0,1,0,0,0,0,0,0,0,0,1,0
"curieux",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"curiosité",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"cusine",1,0,1,0,0,0,0,0,0,0,0,0,0,0
"cuves",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"cuvette",0,0,0,0,0,0,0,0,0,0,0,0,2,0
"cycle",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"cygne",0,0,0,0,0,0,0,1,2,0,3,0,2,0
"cygnes",0,0,0,0,0,0,0,0,1,0,2,0,0,0
"câble",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"câlin",4,4,6,5,10,0,4,10,5,0,1,12,5,5
"câlinou",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"câlins",2,0,0,0,0,1,0,1,1,0,0,2,0,0
"cèdes",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"céder",0,0,0,0,0,0,1,0,0,0,0,0,1,0
"céline",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"céréales",0,0,0,0,0,0,0,0,0,0,0,4,8,0
"côt",0,0,0,0,0,0,0,0,0,0,0,0,4,0
"côte",0,0,0,0,0,0,0,0,0,0,0,0,3,0
"côté",1,14,11,12,14,12,11,16,19,20,27,39,39,58
"côtés",0,0,0,1,0,1,0,1,2,0,1,1,0,0
"cœur",0,0,0,0,1,1,0,0,2,0,0,0,0,0
"cʁcʁcʁcʁcʁ",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"cʁwi",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"d",1,0,0,0,0,0,0,1,0,0,0,4,0,1
"d'",17,61,84,78,112,68,73,108,92,113,170,228,255,237
"da",0,1,0,0,0,0,0,0,0,0,0,0,1,0
"dababe",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"daboum",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"dad",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"dada",0,2,0,0,13,0,1,0,0,2,0,1,1,4
"dadame",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"dadas",0,0,0,0,0,0,0,0,0,2,2,0,0,0
"dadu",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"daigne",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"daisy",0,0,1,0,0,0,0,0,0,0,0,0,1,0
"dal",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"dalle",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"dalmatien",0,0,0,0,0,0,0,0,0,0,0,0,5,4
"daltonien",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"dama",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"dame",0,2,0,4,0,0,3,5,2,7,2,8,33,4
"dames",1,0,0,0,0,0,0,0,0,0,0,1,0,0
"damier",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"damned",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"dandinent",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"dandines",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"danger",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"dangereusement",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"dangereuses",0,0,1,0,0,0,0,0,0,0,0,0,1,0
"dangereux",0,3,2,1,1,0,0,4,1,0,1,0,5,6
"dangeureux",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"danjel",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"danone",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"dans",27,81,124,134,76,128,139,186,151,139,223,314,356,333
"dansait",0,0,0,0,0,1,0,1,0,0,0,0,0,0
"dansant",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"danse",0,0,0,2,1,1,0,2,6,0,0,2,0,17
"dansent",0,0,0,0,0,0,0,2,2,0,0,2,0,0
"danser",0,0,0,0,0,2,0,3,0,0,1,1,0,7
"danses",0,3,3,2,2,9,1,6,4,4,3,0,5,2
"danseur",0,0,0,0,2,0,0,0,0,0,0,0,0,1
"danseuse",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"dansé",0,0,0,0,0,0,0,2,0,0,0,0,0,1
"dante",0,0,0,0,0,0,0,0,0,1,0,1,5,1
"dantesque",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"daon",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"date",0,0,0,0,0,0,0,0,3,1,0,0,0,0
"datte",0,0,0,0,0,0,0,0,0,0,6,0,0,1
"dattes",0,0,0,0,0,0,0,0,0,0,1,0,0,3
"dauphin",1,0,0,0,1,0,0,1,3,0,4,0,1,4
"dauphins",0,0,0,0,0,0,0,0,0,0,2,0,0,0
"daurade",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"davantage",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"david",0,0,0,0,0,0,0,0,0,0,0,0,2,0
"davy",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"de",70,202,231,286,240,226,298,368,301,282,489,652,704,666
"deb",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"debout",3,7,19,16,9,8,12,9,3,11,27,42,18,12
"decendre",0,0,0,0,0,0,0,0,0,0,0,0,2,0
"decidé",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ded",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"dedans",6,27,73,31,21,33,61,43,34,36,39,69,74,61
"dedi",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"degré",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"degrés",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"dehors",0,5,4,3,1,0,1,9,7,5,6,20,10,5
"deja",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"dejà",0,0,1,0,0,0,0,0,0,2,0,0,0,0
"del",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"delatte",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"delfin",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"delphine",0,0,0,0,1,0,0,0,0,0,0,3,0,0
"demain",0,0,1,0,4,2,3,6,7,2,2,7,5,3
"demandais",0,0,3,0,0,0,0,0,0,0,0,0,1,1
"demandait",0,0,0,0,1,0,0,1,0,0,0,1,0,0
"demande",0,1,1,1,3,0,0,4,6,2,5,8,5,26
"demandent",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"demander",1,0,1,0,1,0,0,1,3,2,1,1,1,7
"demanderas",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"demandes",0,3,2,0,1,1,1,1,0,1,2,1,1,3
"demandé",0,0,0,0,1,1,0,0,1,0,0,1,1,2
"demandée",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"demi",0,1,2,1,3,4,1,0,3,2,4,1,7,1
"demie",0,0,0,0,0,1,0,0,0,0,0,0,1,0
"demoiselle",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"demontes",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"denis",0,0,0,0,0,0,0,0,2,1,0,1,0,0
"denise",0,0,0,0,0,0,0,0,0,0,0,0,4,0
"denière",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"dent",0,0,0,2,0,1,2,0,1,2,0,0,1,0
"dentaire",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"dentifrice",0,0,0,0,0,0,1,0,1,0,0,0,0,0
"dents",2,10,3,8,4,2,17,6,16,4,10,21,17,8
"denzrus",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"deplacer",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"depuis",0,2,1,4,7,1,1,5,4,4,4,9,12,6
"der",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"dernier",0,2,0,0,3,0,2,1,0,6,5,2,10,2
"derniers",0,0,2,0,0,0,0,0,0,0,1,0,1,0
"dernière",0,1,4,4,4,2,3,2,2,2,6,4,2,6
"dernières",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"derriere",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"derrière",2,5,10,9,8,14,15,11,19,17,10,13,17,25
"des",29,95,115,81,85,76,102,124,160,147,236,303,326,358
"desc",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"desce",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"descend",2,1,3,6,2,1,2,2,6,2,2,5,17,7
"descende",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"descendent",0,0,0,0,0,0,0,0,0,0,0,0,3,0
"descendre",1,4,0,4,4,2,5,2,12,4,5,9,14,10
"descends",0,7,4,2,2,3,4,2,0,5,2,3,5,0
"descendu",0,0,0,1,0,0,1,0,0,0,2,0,0,0
"descendue",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"descente",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"deshabiller",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"design",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"despetites",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"desserré",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"dessert",0,0,1,2,3,0,1,1,1,2,8,0,5,0
"desserts",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"dessin",1,0,1,1,2,9,1,10,7,2,3,12,6,17
"dessinait",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"dessine",0,0,0,0,0,0,4,4,5,4,1,14,0,19
"dessiner",0,0,1,3,1,1,1,2,8,2,9,16,11,37
"dessines",0,0,0,0,2,1,4,1,3,4,0,4,1,17
"dessins",0,0,0,2,1,2,1,0,1,3,4,6,2,5
"dessiné",0,0,0,1,0,1,0,0,2,1,1,1,5,8
"dessinés",0,0,0,0,0,0,0,1,0,0,1,0,0,0
"dessous",2,5,12,10,3,8,6,1,7,3,20,7,25,15
"dessus",4,17,20,21,6,27,23,27,16,25,26,31,47,46
"destination",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"destroy",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"destructeur",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"destruction",0,0,1,1,0,0,0,0,0,0,0,0,0,0
"destructrice",0,1,0,0,0,0,1,0,0,0,0,0,0,0
"deteste",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"deux",6,20,30,38,43,19,23,47,42,39,45,81,126,97
"deuxieme",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"deuxième",0,2,4,3,0,5,6,5,3,0,2,1,3,6
"deuxièmes",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"devais",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"devait",0,0,0,0,0,0,0,0,0,3,0,1,1,0
"devant",0,2,3,1,4,3,2,8,6,6,2,3,12,3
"devenir",0,0,0,0,1,0,0,0,0,0,0,0,1,1
"devenu",0,0,0,0,0,0,0,0,1,0,0,0,1,1
"devenue",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"devenues",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"devienne",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"deviennent",0,0,0,0,0,0,0,1,0,0,0,0,1,0
"deviens",0,0,0,0,0,0,0,0,2,1,0,1,0,1
"devient",0,0,0,1,0,1,0,1,0,1,2,0,3,1
"devine",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"devint",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"deviné",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"devis",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"devoir",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"devrais",0,0,1,0,0,0,0,0,1,2,0,2,0,1
"devrait",0,0,0,0,2,2,4,0,1,0,1,2,1,1
"devront",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"dezi",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"di",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"diagnostic",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"diantalvan",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"didi",0,0,0,0,0,0,0,0,0,8,8,2,3,0
"dididididididi",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"didier",0,0,0,0,0,0,0,0,1,0,0,2,0,0
"didou",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"didu",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"dieu",0,0,2,1,0,0,0,3,0,3,1,0,0,0
"difficile",2,4,7,5,1,3,4,7,5,2,10,3,6,7
"difficilement",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"difficiles",0,0,1,0,0,0,0,0,0,0,0,0,1,0
"difficulté",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"diffusion",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"diffusé",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"différence",0,0,1,0,0,0,0,0,1,0,0,0,2,0
"différent",0,1,0,0,0,0,0,0,0,0,1,0,0,0
"différentes",0,1,2,0,0,0,0,0,0,0,1,1,0,0
"différents",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"digère",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"digérer",0,1,0,0,1,0,0,0,0,0,0,2,1,0
"dijõ",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"dimanche",0,0,0,0,0,0,1,0,2,0,0,0,0,0
"diminuer",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"din",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"dinausore",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"dindon",0,0,0,0,0,0,0,0,0,3,2,0,0,0
"dindons",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"dinette",0,0,0,0,0,0,0,0,0,0,1,0,4,2
"ding",0,0,1,0,0,0,0,0,0,0,1,2,3,0
"dingo",0,0,2,0,0,0,2,0,0,3,0,0,0,0
"dingue",0,0,1,0,0,0,2,0,1,0,0,0,0,0
"dino",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"diodes",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"diparue",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"diplome",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"diplôme",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"dira",0,0,0,0,0,1,0,0,0,0,3,1,0,0
"dirai",0,1,0,0,0,0,0,0,0,0,2,2,0,0
"dirais",0,0,2,0,1,1,0,0,2,0,0,0,1,1
"dirait",0,3,4,4,6,5,5,6,3,9,3,5,13,7
"diras",0,0,3,0,0,0,1,3,1,0,0,0,0,3
"dire",4,12,12,19,11,8,14,36,15,18,27,28,48,35
"direct",1,0,1,1,0,0,0,0,1,2,0,0,0,0
"directe",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"directement",0,0,0,2,2,0,0,3,0,2,2,1,0,0
