word,m.11,m.12,m.13,m.14,m.15,m.16,m.17,m.18,m.19,m.20,m.21,m.22,m.23,m.24
"accompagner",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"accompagnes",0,1,0,0,0,0,0,0,0,0,0,1,1,0
"accomplie",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"accord",3,27,24,30,56,22,33,46,23,50,61,71,88,88
"accorde",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"accordéon",0,0,0,0,0,0,0,2,0,0,0,0,0,5
"accro",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"accroc",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"accrochait",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"accroche",1,2,1,0,0,3,2,1,1,2,2,7,17,4
"accrochent",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"accrocher",2,0,2,0,1,3,0,1,2,3,0,0,6,2
"accrochera",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"accroches",2,0,0,1,0,5,1,1,2,0,1,0,1,0
"accroché",1,0,1,0,0,0,0,1,2,0,3,2,2,2
"accrochée",0,0,1,1,0,0,0,0,0,0,0,0,0,1
"accrochées",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"accrochés",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"accros",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"accroupir",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"accueil",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"accueillir",0,0,0,0,0,0,0,0,0,0,0,1,2,0
"accueillis",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"accès",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ach",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"acharnes",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ache",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"acheter",0,0,0,0,0,0,0,0,3,1,0,1,5,6
"achetez",0,0,0,0,2,0,0,0,0,0,0,0,0,0
"acheté",0,1,3,0,2,1,1,1,1,1,1,0,3,5
"achetées",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"achevée",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"achète",0,0,0,0,1,0,0,1,0,0,0,2,0,0
"achèterai",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"achève",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"achèves",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"acoustique",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"acquiert",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"acrobate",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"acrobatie",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"acrobaties",0,0,0,0,1,0,1,0,0,0,0,3,2,1
"action",0,0,0,1,0,0,0,0,0,2,1,0,0,1
"actionnes",0,0,0,1,0,0,0,0,0,0,0,1,0,0
"activité",0,0,0,1,0,0,0,2,0,0,0,1,0,0
"activitées",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"adada",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"adagio",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"adapte",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"adhésif",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"adieu",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"admirer",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ado",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"adorais",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"adorait",0,0,0,0,0,0,0,0,0,0,0,0,2,0
"adore",0,8,2,3,6,1,5,4,2,2,3,3,12,3
"adorent",0,0,0,0,0,0,0,1,0,0,0,0,1,0
"adorer",0,1,0,0,0,0,0,0,0,0,0,0,1,0
"adores",0,0,0,0,0,0,0,0,0,0,0,1,2,0
